CODIGO,PECA,QTD,DESCRICAO
501116001,447001001,1,COMP MILLION TAMPO 1250X450X25 MDP 1 BRANCO
501116001,447002001,1,COMP MILLION LAT ESQ 670X430X15 MDP 2 BRANCO
501116001,447003001,1,COMP MILLION PRAT ESQ 345X380X15 MDP 3 BRANCO
501116001,447004001,1,COMP MILLION DIV 670X430X15 MDP 4 BRANCO
501116001,447005001,1,COMP MILLION BASE ESQ 450X385X15 MDP 5 BRANCO
501116001,447006001,1,COMP MILLION TRAVA 838X130X15 MDP 6 BRANCO
501116001,447007001,1,COMP MILLION LAT DIR 660X445X15 MDP 7 BRANCO
501116001,447008001,1,COMP MILLION FUNDO DIR 660X240X15 MDP 8 BRANCO
501116001,447009001,1,COMP MILLION PRAT DIR 230X420X25 MDP 9 BRANCO
501116001,447010001,1,COMP MILLION BASE CPU 265X450X25 MDP 10 BRANCO
501116001,447012001,1,COMP MILLION FRENTE GAV 360X120X15 MDP 11 BRANCO
501116001,447013001,2,COMP MILLION LAT GAV 300X90X12 MDP 13 BRANCO REAL
501116001,447015001,1,COMP MILLION C F GAV 295X75X12 MDP 15 BRANCO REAL
501116001,603001152,1,KIT MESA COMPUTADOR MILLION
501116001,603003010,1,CORREDICA METALICA 300 MM CINZA NEXT
501116001,603004018,2,RODIZIO RD40 PRETO CH PLANA COM TRAVA (MILLION)
501116001,603004019,6,RODIZIO RD40 PRETO CH PLANA SEM TRAVA (MILLION)
501116001,603012039,1,PUXADOR SELF STELL PRATA
501116001,606003091,1,F GAV 320 X 305 BRANCO MESA COMPUTADOR MILLION
501116001,606004151,1,F TRAS 705 X 370 BRANCO MESA COMPUTADOR MILLION
501116001,607001330,1,CX SIMPLES ACESS 440X70X50 COMP MILLION
501116001,607001548,1,CX 1/1 TRIPLEX 1305X465X95 COMP MILLION
501116001,607002544,2,ISOPOR 1/1 T3 450X85X20 COMP MILLION
501116001,607005099,5,ISOMANTA 1/1 1300X500X0.5 COMP MILLION
501116001,607006013,2.5,FITA ADESIVA HOT MELT 45 X 100M
501116001,607006016,1.4,FITA POLIPROPILENO 72 X 1000M ROLO LONGO
501116001,607007001,2,ETIQUETA ADESIVA 100 X 50 BRANCA
501116001,607008001,1,MANUAL DE MONTAGEM
501116002,447001070,1,COMP MILLION TAMPO 1250X450X25 MDP 1 PTO AC
501116002,447002070,1,COMP MILLION LAT ESQ 670X430X15 MDP 2 PTO AC
501116002,447003070,1,COMP MILLION PRAT ESQ 345X380X15 MDP 3 PTO AC
501116002,447004070,1,COMP MILLION DIV 670X430X15 MDP 4 PTO AC
501116002,447005070,1,COMP MILLION BASE ESQ 450X385X15 MDP 5 PTO AC
501116002,447006070,1,COMP MILLION TRAVA 838X130X15 MDP 6 PTO AC
501116002,447007070,1,COMP MILLION LAT DIR 660X445X15 MDP 7 PTO AC
501116002,447008070,1,COMP MILLION FUNDO DIR 660X240X15 MDP 8 PTO AC
501116002,447009070,1,COMP MILLION PRAT DIR 230X420X25 MDP 9 PTO AC
501116002,447010070,1,COMP MILLION BASE CPU 265X450X25 MDP 10 PTO AC
501116002,447012070,1,COMP MILLION FRENTE GAV 360X120X15 MDP 11 PTO AC
501116002,447013001,2,COMP MILLION LAT GAV 300X90X12 MDP 13 BRANCO REAL
501116002,447015001,1,COMP MILLION C F GAV 295X75X12 MDP 15 BRANCO REAL
501116002,603001152,1,KIT MESA COMPUTADOR MILLION
501116002,603003010,1,CORREDICA METALICA 300 MM CINZA NEXT
501116002,603004018,2,RODIZIO RD40 PRETO CH PLANA COM TRAVA (MILLION)
501116002,603004019,6,RODIZIO RD40 PRETO CH PLANA SEM TRAVA (MILLION)
501116002,603012039,1,PUXADOR SELF STELL PRATA
501116002,606003091,1,F GAV 320 X 305 BRANCO MESA COMPUTADOR MILLION
501116002,606004252,1,F TRAS 705 X 370 PRETO ACETINADO MESA COMPUT MILLO
501116002,607001330,1,CX SIMPLES ACESS 440X70X50 COMP MILLION
501116002,607001548,1,CX 1/1 TRIPLEX 1305X465X95 COMP MILLION
501116002,607002544,2,ISOPOR 1/1 T3 450X85X20 COMP MILLION
501116002,607005099,5,ISOMANTA 1/1 1300X500X0.5 COMP MILLION
501116002,607006013,2.5,FITA ADESIVA HOT MELT 45 X 100M
501116002,607006016,1.4,FITA POLIPROPILENO 72 X 1000M ROLO LONGO
501116002,607007001,2,ETIQUETA ADESIVA 100 X 50 BRANCA
501116002,607008001,1,MANUAL DE MONTAGEM
501116003,447001116,1,COMP MILLION TAMPO 1250X450X25 MDP 1 CINAMOMO
501116003,447002116,1,COMP MILLION LAT ESQ 670X430X15 MDP 2 CINAMOMO
501116003,447003116,1,COMP MILLION PRAT ESQ 345X380X15 MDP 3 CINAMOMO
501116003,447004116,1,COMP MILLION DIV 670X430X15 MDP 4 CINAMOMO
501116003,447005116,1,COMP MILLION BASE ESQ 450X385X15 MDP 5 CINAMOMO
501116003,447006116,1,COMP MILLION TRAVA 838X130X15 MDP 6 CINAMOMO
501116003,447007116,1,COMP MILLION LAT DIR 660X445X15 MDP 7 CINAMOMO
501116003,447008116,1,COMP MILLION FUNDO DIR 660X240X15 MDP 8 CINAMOMO
501116003,447009116,1,COMP MILLION PRAT DIR 230X420X25 MDP 9 CINAMOMO
501116003,447010116,1,COMP MILLION BASE CPU 265X450X25 MDP 10 CINAMOMO
501116003,447012116,1,COMP MILLION FRENTE GAV 360X120X15 MDP 11 CINAMOMO
501116003,447013001,2,COMP MILLION LAT GAV 300X90X12 MDP 13 BRANCO REAL
501116003,447015001,1,COMP MILLION C F GAV 295X75X12 MDP 15 BRANCO REAL
501116003,603001152,1,KIT MESA COMPUTADOR MILLION
501116003,603003010,1,CORREDICA METALICA 300 MM CINZA NEXT
501116003,603004018,2,RODIZIO RD40 PRETO CH PLANA COM TRAVA (MILLION)
501116003,603004019,6,RODIZIO RD40 PRETO CH PLANA SEM TRAVA (MILLION)
501116003,603012039,1,PUXADOR SELF STELL PRATA
501116003,606003091,1,F GAV 320 X 305 BRANCO MESA COMPUTADOR MILLION
501116003,606004318,1,F TRAS 705 X 370 CINAMOMO MESA COMPUTADOR MILLION
501116003,607001330,1,CX SIMPLES ACESS 440X70X50 COMP MILLION
501116003,607001548,1,CX 1/1 TRIPLEX 1305X465X95 COMP MILLION
501116003,607002544,2,ISOPOR 1/1 T3 450X85X20 COMP MILLION
501116003,607005099,5,ISOMANTA 1/1 1300X500X0.5 COMP MILLION
501116003,607006013,2.5,FITA ADESIVA HOT MELT 45 X 100M
501116003,607006016,1.4,FITA POLIPROPILENO 72 X 1000M ROLO LONGO
501116003,607007001,2,ETIQUETA ADESIVA 100 X 50 BRANCA
501116003,607008001,1,MANUAL DE MONTAGEM
501116004,447001116,1,COMP MILLION TAMPO 1250X450X25 MDP 1 CINAMOMO
501116004,447002070,1,COMP MILLION LAT ESQ 670X430X15 MDP 2 PTO AC
501116004,447003070,1,COMP MILLION PRAT ESQ 345X380X15 MDP 3 PTO AC
501116004,447004070,1,COMP MILLION DIV 670X430X15 MDP 4 PTO AC
501116004,447005070,1,COMP MILLION BASE ESQ 450X385X15 MDP 5 PTO AC
501116004,447006070,1,COMP MILLION TRAVA 838X130X15 MDP 6 PTO AC
501116004,447007070,1,COMP MILLION LAT DIR 660X445X15 MDP 7 PTO AC
501116004,447008070,1,COMP MILLION FUNDO DIR 660X240X15 MDP 8 PTO AC
501116004,447009070,1,COMP MILLION PRAT DIR 230X420X25 MDP 9 PTO AC
501116004,447010070,1,COMP MILLION BASE CPU 265X450X25 MDP 10 PTO AC
501116004,447012070,1,COMP MILLION FRENTE GAV 360X120X15 MDP 11 PTO AC
501116004,447013001,2,COMP MILLION LAT GAV 300X90X12 MDP 13 BRANCO REAL
501116004,447015001,1,COMP MILLION C F GAV 295X75X12 MDP 15 BRANCO REAL
501116004,603001152,1,KIT MESA COMPUTADOR MILLION
501116004,603003010,1,CORREDICA METALICA 300 MM CINZA NEXT
501116004,603004018,2,RODIZIO RD40 PRETO CH PLANA COM TRAVA (MILLION)
501116004,603004019,6,RODIZIO RD40 PRETO CH PLANA SEM TRAVA (MILLION)
501116004,603012039,1,PUXADOR SELF STELL PRATA
501116004,606003091,1,F GAV 320 X 305 BRANCO MESA COMPUTADOR MILLION
501116004,606004252,1,F TRAS 705 X 370 PRETO ACETINADO MESA COMPUT MILLO
501116004,607001330,1,CX SIMPLES ACESS 440X70X50 COMP MILLION
501116004,607001548,1,CX 1/1 TRIPLEX 1305X465X95 COMP MILLION
501116004,607002544,2,ISOPOR 1/1 T3 450X85X20 COMP MILLION
501116004,607005099,5,ISOMANTA 1/1 1300X500X0.5 COMP MILLION
501116004,607006013,2.5,FITA ADESIVA HOT MELT 45 X 100M
501116004,607006016,1.4,FITA POLIPROPILENO 72 X 1000M ROLO LONGO
501116004,607007001,2,ETIQUETA ADESIVA 100 X 50 BRANCA
501116004,607008001,1,MANUAL DE MONTAGEM
501116005,447001116,1,COMP MILLION TAMPO 1250X450X25 MDP 1 CINAMOMO
501116005,447002001,1,COMP MILLION LAT ESQ 670X430X15 MDP 2 BRANCO
501116005,447003001,1,COMP MILLION PRAT ESQ 345X380X15 MDP 3 BRANCO
501116005,447004001,1,COMP MILLION DIV 670X430X15 MDP 4 BRANCO
501116005,447005001,1,COMP MILLION BASE ESQ 450X385X15 MDP 5 BRANCO
501116005,447006001,1,COMP MILLION TRAVA 838X130X15 MDP 6 BRANCO
501116005,447007001,1,COMP MILLION LAT DIR 660X445X15 MDP 7 BRANCO
501116005,447008001,1,COMP MILLION FUNDO DIR 660X240X15 MDP 8 BRANCO
501116005,447009001,1,COMP MILLION PRAT DIR 230X420X25 MDP 9 BRANCO
501116005,447010001,1,COMP MILLION BASE CPU 265X450X25 MDP 10 BRANCO
501116005,447012001,1,COMP MILLION FRENTE GAV 360X120X15 MDP 11 BRANCO
501116005,447013001,2,COMP MILLION LAT GAV 300X90X12 MDP 13 BRANCO REAL
501116005,447015001,1,COMP MILLION C F GAV 295X75X12 MDP 15 BRANCO REAL
501116005,603001152,1,KIT MESA COMPUTADOR MILLION
501116005,603003010,1,CORREDICA METALICA 300 MM CINZA NEXT
501116005,603004018,2,RODIZIO RD40 PRETO CH PLANA COM TRAVA (MILLION)
501116005,603004019,6,RODIZIO RD40 PRETO CH PLANA SEM TRAVA (MILLION)
501116005,603012039,1,PUXADOR SELF STELL PRATA
501116005,606003091,1,F GAV 320 X 305 BRANCO MESA COMPUTADOR MILLION
501116005,606004151,1,F TRAS 705 X 370 BRANCO MESA COMPUTADOR MILLION
501116005,607001330,1,CX SIMPLES ACESS 440X70X50 COMP MILLION
501116005,607001548,1,CX 1/1 TRIPLEX 1305X465X95 COMP MILLION
501116005,607002544,2,ISOPOR 1/1 T3 450X85X20 COMP MILLION
501116005,607005099,5,ISOMANTA 1/1 1300X500X0.5 COMP MILLION
501116005,607006013,2.5,FITA ADESIVA HOT MELT 45 X 100M
501116005,607006016,1.4,FITA POLIPROPILENO 72 X 1000M ROLO LONGO
501116005,607007001,2,ETIQUETA ADESIVA 100 X 50 BRANCA
501116005,607008001,1,MANUAL DE MONTAGEM
501116006,447001116,1,COMP MILLION TAMPO 1250X450X25 MDP 1 CINAMOMO
501116006,447002006,1,COMP MILLION LAT ESQ 670X430X15 MDP 2 OFF WHITE
501116006,447003006,1,COMP MILLION PRAT ESQ 345X380X15 MDP 3 OFF WHITE
501116006,447004006,1,COMP MILLION DIV 670X430X15 MDP 4 OFF WHITE
501116006,447005006,1,COMP MILLION BASE ESQ 450X385X15 MDP 5 OFF WHITE
501116006,447006006,1,COMP MILLION TRAVA 838X130X15 MDP 6 OFF WHITE
501116006,447007006,1,COMP MILLION LAT DIR 660X445X15 MDP 7 OFF WHITE
501116006,447008006,1,COMP MILLION FUNDO DIR 660X240X15 MDP 8 OFF WHITE
501116006,447009006,1,COMP MILLION PRAT DIR 230X420X25 MDP 9 OFF WHITE
501116006,447010006,1,COMP MILLION BASE CPU 265X450X25 MDP 10 OFF WHITE
501116006,447012006,1,COMP MILLION FRENTE GAV 360X120X15 MDP 11 OFF WHIT
501116006,447013001,2,COMP MILLION LAT GAV 300X90X12 MDP 13 BRANCO REAL
501116006,447015001,1,COMP MILLION C F GAV 295X75X12 MDP 15 BRANCO REAL
501116006,603001152,1,KIT MESA COMPUTADOR MILLION
501116006,603003010,1,CORREDICA METALICA 300 MM CINZA NEXT
501116006,603004018,2,RODIZIO RD40 PRETO CH PLANA COM TRAVA (MILLION)
