CODIGO,PECA,DESCRICAO
501059001,478001001,TAMPO 1200X450X25 MDF 1 BRANCO
501059001,478004001,LAT INT ESQ 345X425X15 MDP 4 BRANCO
501059001,478011001,LAT MOLD ESQ/DIR 680X120X15 MDP 11 BRANCO
501059001,478016001,FRT GAV MENOR 320X150X15 MDP 16 BRANCO
501059001,478020001,FRT GAV MAIOR 495X150X15 MDP 20 BRANCO
501059002,478012001,MOLD ESP 1030X680X15 MDF 12 BRANCO
501059002,478019001,C F GAV 282X100X12 MDF 19 BRANCO
501059003,478002004,LAT EXT ESQ 345X425X15 MDP 2 ROSA
501059003,478011004,LAT MOLD ESQ/DIR 680X120X15 MDP 11 ROSA
501059004,478012004,MOLD ESP 1030X680X15 MDF 12 ROSA
501059004,478019004,C F GAV 282X100X12 MDF 19 ROSA
501059007,478001111,TAMPO 1200X450X25 MDF 1 ALECRIM
501059007,478008111,BASE DIR/ESQ 345X426X15 MDP 8 ALECRIM
501059008,478017111,LAT GAV 290X100X12 MDF 17 ALECRIM
501060001,479001001,TAMPO 445X428X18 MDF N 1 BRANCO
501060001,479002001,LAT ESQ 615X420X18 MDF N 2 BRANCO
501060001,479004001,BASE 445X428X18 MDF N 4 BRANCO
501060001,479006001,FRENTE GAV MENOR 390X150X15 MDF N 6 BRANCO
501060001,479010001,FRENTE GAV MAIOR 488X150X15 MDF N 10 BRANCO
501060001,479013001,TRAV TRAS 493X130X15 MDF N 13 BRANCO
501060001,479015001,LAT DIR 790X425X18 MDF N 15 BRANCO
501060002,479019001,MOLD ESPELHO 920X675X15 MDF N 19 BRANCO
501060003,479002006,LAT ESQ 615X420X18 MDF N 2 OFF WHITE
501060003,479004006,BASE 445X428X18 MDF N 4 OFF WHITE
501060003,479013006,TRAV TRAS 493X130X15 MDF N 13 OFF WHITE
501060003,479014006,TRAV FRONTAL 493X82X15 MDF N 14 OFF WHITE
501060005,601003011,VIDRO 04MM 490X325 RETO/TEMPERADO PENT MEL/ELOA
501060005,606003107,F GAV MENOR 372 X 353 OFF WHITE PENTEADEIRA ELOA
501060005,606003110,F GAV MAIOR 450 X 372 OFF WHITE PENTEAD ELOA/MEL
501069001,763003116,RIPA ACAB 2500X48X12 MDF 3 CINAMOM
501069001,763051116,PRAT 1600X200X20 MDF 7 CINAMOM
501069002,763002116,PAINEL 2500X448X12 MDP 2 CINAMOMO
501070001,607001711,CX TRIPLEX 1/3 2578X515X84 HOME RIPADO SUPREMO 2.3
501070003,763017116,BASE 1960X280X15 MDP 17 CINAMOMO
501070003,763019116,FTE GAV CTL 642X155X15 MDP 19 CINAMOMO
501070004,603007060,SUPORTE PRATELEIRA INVISIVEL
501070004,763005116,MOLD LAT 2500X34X12 MDP 5 CINAMOMO
501070006,606003154,F GAV 590 X 250 OFF WHITE HOME RIPADO SUPREMO 2.3
501070006,763012006,TAMPO 2000X315X20 MDF 12 OFF WHITE
501070006,763013006,LAT ESQ 279X130X15 MDP 13 OFF WHITE
501070006,763014006,DIV 262X130X15 MDP 14 OFF WHITE
501070006,763015006,LAT DIR 279X130X15 MDP 15 OFF WHITE
501070006,763018006,FTE GAV DIR 660X155X15 MDP 18 OFF WHITE
501070006,763019006,FTE GAV CTL 642X155X15 MDP 19 OFF WHITE
501072006,763021006,LAT GAV 240X100X12 MDP 21 OFF WHITE
501080008,602002041,ESPELHO 03MM 715X345 CRISTALEIRA ORION
501080008,787005116,TAMPO 770X380X25 MDP 5 CINAMOMO
501083119,603014143,TRAVESSA MADEIRA 264X55X22
501083119,785004006,1.8 PRAT 820X361X15 MDP 4 OFF WHITE
501083119,785005006,1.6/1.8/2.2 DIV 361X330X15 MDP 5 OFF WHITE
501083119,785009006,1.8 MOLD 1765X34X15 MDP 9 OFF WHITE
501083121,785001116,1.8 TAMPO 1765X362X15 MDF 1 CINAMOMO
501088006,801006100,SUP TRAS 1.6/1.8 1590X100X15 MDP 6
501088006,801019116,BASE 1.6 1600X400X15 MDP 1 CINAMOMO
501088006,801021116,TAMPO SUP 1.6 1580X285X25 MDP 8 CINAMOMO
501088006,801027006,FRENTE GAV ESQ 1.6 798X227X15 MDF 14 OFF WHI
501088007,801007006,DIV SUP 1.6/1.8 260X150X15 MDP 7 OFF WHITE
501088007,801024006,PAINEL CENTRAL 1.6 1210X540X15 MDP 11 OFF W
501088007,801026006,PRAT 1.6 1360X160X25 MDP 13 OFF WHITE
501088007,801029006,C F GAV 1.6 750X148X12 MDP 17 OFF WHITE
501088008,801020006,TAMPO INF 1.6 1600X380X25 MDP 5 OFF WHITE
501088008,801027116,FRENTE GAV ESQ 1.6 798X227X15 MDF 14 CINAMO
501089001,369006001,PORTA
501089001,396003001,PRAT FIXA 860X382X15 MDP N 3 BRANCO
501089001,396007001,PRATELEIRA MOVEL
501089002,396001116,TAMPO 900X403X15 MDP N 1 CINAMOMO
501089002,396004116,LAT ESQ 1000X383X15 MDP N 4 CINAMOMO
501089002,396005116,BASE 900X403X15 MDP N 5 CINAMOMO
501089003,396006006,PORTA 994X435X15 MDP N 6 OFF WHITE
501093001,606004449,F TRAS ESQ 670X267 1 LD CINAMOMO AURORA
501093001,791002116,LAT ESQ 650X378X15 MDP 2 CINAMOMO
501093002,791002006,LAT ESQ 650X378X15 MDP 2 OFF WHITE
501093002,791003006,PRAT MAIOR 520X377X15 MDP 3 OFF WHITE
501093003,791013116,PAINEL DIR 680X240X15 MDF 13 CINAMOMO
501093003,791014116,PRAT SUP 512X120X15 MDP 14 CINAMOMO
501094001,778001001,BASE 380X330X15 MDP 1 BCO
501094001,778002001,LAT DIR/ESQ 328X215X15 MDP 2 BCO
501094003,778005108,FUNDO SUP 378X265X15 MDP 5 GRAFITE
501094003,778006116,PRAT 370X150X15 MDP 6 CINAMOMO
501096001,792005001,RODAPE 390X50X15 MDP 5 BCO
501096001,792007001,PRAT 390X150X15 MDP 7 BCO
501096002,606003165,F GAV 333X305 BRANCO MESA CABECERIA MAVIE
501096002,792004006,BASE 400X330X15 MDP 4 OFF WHITE
501096004,792002116,LAT ESQ 410X328X15 MDP 2 CINAMOMO
501096004,792003116,LAT DIR 410X328X15 MDP 3 CINAMOMO
501096004,792004116,BASE 400X330X15 MDP 4 CINAMOMO
501097004,778001116,BASE 380X330X15 MDP 1 CINAMOMO
501097004,778002006,LAT DIR/ESQ 328X215X15 MDP 2 OFF WHITE
501106002,770002006,LAT ESQ 380X360X15 MDP 2 OFF W
501106002,770008006,PTA BASC 527X250X15 MDP 8 OFF WHITE
501106004,606004410,FUNDO MENOR 1335X145 1LD ALECRIM RACK SIRIUS 1.4
501106004,770007111,PTA 374X335X15 MDP 7 ALECRIM
501106012,770005116,0.9/1.4/1.6 LAT DIR 380X360X15 MDP 5 CINAMO
501106012,770014116,1.4 BASE 1360X380X15 MDP 6 CINAMOMO
501113001,754003116,LAT ESQ 230X130X15 MDP 3 CINAMOMO
501113001,754004116,LAT DIR 230X115X15 MDP 4 CINAMOMO
501113001,754007116,PAINEL SUP 1360X540X12 MDP 7 CINAMOMO
501113001,754009006,APLIQUE 835X200X12 MDF 9 OFF WHITE
501113002,754002006,TAMPO MENOR 525X235X15 MDP 2 OFF WHITE
501113002,754004006,LAT DIR 230X115X15 MDP 4 OFF WHITE
501113002,754006006,PAINEL INF 1360X540X12 MDP 6 OFF WHITE
501113002,754007006,PAINEL SUP 1360X540X12 MDP 7 OFF WHITE
501113004,754005070,BASE 1350X235X15 MDP 5 PTO AC
501113004,754006070,PAINEL INF 1360X540X12 MDP 6 PTO AC
501114009,773001116,PNL INF 1600X540X15 MDP 1 CINAMO
501114009,773003116,PNL SUP 1600X540X15 MDP 3 CINAMO
501118001,606003144,F GAV 790 X 310 OFF WHITE ESCRIVANINHA TAURUS
501118001,760001006,TAMPO 1250X540X25 MDF 1 OFF WHITE
501118001,760007006,LAT GAV 300X75X15 MDP 7 OFF WHITE
501118002,760004021,LAT ESQ 376X85X15 MDP 4 BCO AC
501118002,760006021,FRENTE GAV 900X90X15 MDF 6 BCO AC
501118005,760001116,TAMPO 1250X540X25 MDF 1 CINAMOMO
501118005,760009116,C F GAV 810X75X15 MDP 9 CINAMOMO
501134001,385001001,BASE DIR/ESQ 350X300X12 MDF N 1 BRANCO
501134001,385012001,FRENTE GAV 268X100X12 MDF N 12 BRANCO
501134002,385001009,BASE DIR/ESQ 350X300X12 MDF N 1 ROSA
501134002,385002009,PES 540X130X25 MDF N 2 ROSA
501134002,385005009,FUNDO TRAS 907X210X12 MDF N 5 ROSA
501134002,385012009,FRENTE GAV 268X100X12 MDF N 12 ROSA
501134002,385016009,LAT GAV 300X70X12 MDP 13 ROSA
501135001,602002006,ESPELHO
501135001,743001006,TAMPO 1200X400X15 MDP 1 OFF WHITE
501135001,743003006,DIV 800X380X15 MDP 3 OFF WHITE
501135001,743004006,LAT DIR 800X380X15 MDP 4 OFF WHITE
501135001,743009006,MOLD ESPELHO 1180X680X15 MDP 9 OFF WHITE
501135001,743010006,PORTA 600X395X15 MDP 10 OFF WHITE
501135001,743016006,C F GAV 729X100X12 MDP 16 OFF WHITE
501135002,743003021,DIV 800X380X15 MDP 3 BRANCO AC
501135002,743004021,LAT DIR 800X380X15 MDP 4 BRANCO AC
501135002,743005021,BASE 380X378X15 MDP 5 BRANCO AC
501135002,743008021,PRAT MOVEL 380X350X15 MDP 8 BRANCO AC
