CODIGO,DESCRICAO
361001001,PE FRONT ESQ 680X115X25 MDF 5 BRANCO
361001025,PE FRONT ESQ 680X115X25 MDF 5 OFF WHITE
361001070,PE FRONT ESQ 680X115X25 MDF 5 PTO AC
361001221,PE FRONT ESQ 680X115X25 MDF 5 BCO AC
361002001,LAT ESQ 360X340X12 MDF 6 BRANCO
361002025,LAT ESQ 360X340X12 MDF 6 OFF WHITE
361002070,LAT ESQ 360X340X12 MDF 6 PTO AC
361002221,LAT ESQ 360X340X12 MDF 6 BCO AC
361003001,PE TRAS ESQ 680X115X25 MDF 8 BRANCO
361003025,PE TRAS ESQ 680X115X25 MDF 8 OFF WHITE
361003070,PE TRAS ESQ 680X115X25 MDF 8 PTO AC
361003221,PE TRAS ESQ 680X115X25 MDF 8 BCO AC
361004001,FUNDO TRAS 430X410X12 MDF 9 BRANCO
361004025,FUNDO TRAS 430X410X12 MDF 9 OFF WHITE
361004070,FUNDO TRAS 430X410X12 MDF 9 PTO AC
361004221,FUNDO TRAS 430X410X12 MDF 9 BCO AC
361005001,TRAV FRONTAL 410X100X15 MDF 10 BRANCO
361005025,TRAV FRONTAL 410X100X15 MDF 10 OFF WHITE
361005070,TRAV FRONTAL 410X100X15 MDF 10 PTO AC
361005221,TRAV FRONTAL 410X100X15 MDF 10 BCO AC
361006001,TAMPO 680X450X25 MDF 11 BRANCO
361006007,TAMPO 680X450X25 MDF 11 PRETO
361006025,TAMPO 680X450X25 MDF 11 OFF WHITE
361006070,TAMPO 680X450X25 MDF 11 PTO AC
361006073,TAMPO 680X450X25 MDF 11 CUMARU
361007001,FRENTE GAV 405X150X15 MDF BRANCO
361007025,FRENTE GAV 405X150X15 MDF 12 OFF WHITE
361007070,FRENTE GAV 405X150X15 MDF 12 PTO AC
361007221,FRENTE GAV 405X150X15 MDF 12 BCO AC
361008001,PE FRONT DIR 680X115X25 MDF 1 BRANCO
361008025,PE FRONT DIR 680X115X25 MDF 1 OFF WHITE
361008070,PE FRONT DIR 680X115X25 MDF 1 PTO AC
361008221,PE FRONT DIR 680X115X25 MDF 1 BCO AC
361009001,LAT DIR 360X340X12 MDF 2 BRANCO
361009025,LAT DIR 360X340X12 MDF 2 OFF WHITE
361009070,LAT DIR 360X340X12 MDF 2 PTO AC
361009221,LAT DIR 360X340X12 MDF 2 BCO AC
361010001,TRAV LAT 360X100X15 MDF 3 BRANCO
361010025,TRAV LAT 360X100X15 MDF 3 OFF WHITE
361010070,TRAV LAT 360X100X15 MDF 3 PTO AC
361010221,TRAV LAT 360X100X15 MDF 3 BCO AC
361011001,PE TRAS DIR 680X115X25 MDF 4 BRANCO
361011025,PE TRAS DIR 680X115X25 MDF 4 OFF WHITE
361011070,PE TRAS DIR 680X115X25 MDF 4 PTO AC
361011221,PE TRAS DIR 680X115X25 MDF 4 BCO AC
361012100,TRAVA 434X130X12 MDF 16
361013001,LAT GAV 290X100X12 MDF 13 BRANCO
361013025,LAT GAV 290X100X12 MDF 13 OFF WHITE
361013070,LAT GAV 290X100X12 MDF 13 PTO AC
361013221,LAT GAV 290X100X12 MDF 13 BCO AC
361015001,C F GAV 386X100X12 MDF 15 BRANCO
361015025,C F GAV 386X100X12 MDF 15 OFF WHITE
361015070,C F GAV 386X100X12 MDF 15 PTO AC
361015221,C F GAV 386X100X12 MDF 15 BCO AC
385001001,BASE DIR/ESQ 350X300X12 MDF N 1 BRANCO
385001009,BASE DIR/ESQ 350X300X12 MDF N 1 ROSA
385002001,PES 540X130X25 MDF N 2 BRANCO
385002009,PES 540X130X25 MDF N 2 ROSA
385003001,TAMPO 960X350X12 MDF N 3 BRANCO
385003009,TAMPO 960X350X12 MDF N 3 ROSA
385004001,LAT EXT ESQ 320X210X12 MDF N 4 BRANCO
385004009,LAT EXT ESQ 320X210X12 MDF N 4 ROSA
385005001,FUNDO TRAS 907X210X12 MDF N 5 BRANCO
385005009,FUNDO TRAS 907X210X12 MDF N 5 ROSA
385006001,LAT EXT DIR 320X210X12 MDF N 6 BRANCO
385006009,LAT EXT DIR 320X210X12 MDF N 6 ROSA
385007001,LAT INT ESQ 307X210X12 MDF N 7 BRANCO
385007009,LAT INT ESQ 307X210X12 MDF N 7 ROSA
385008001,TRAV FRONTAL 389X105X12 MDF N 8 BRANCO
385008009,TRAV FRONTAL 389X105X12 MDF N 8 ROSA
385009001,LAT INT DIR 307X210X12 MDF N 9 BRANCO
385009009,LAT INT DIR 307X210X12 MDF N 9 ROSA
385010001,APOIO ESPELHO 350X840X12 MDF N 10 BRANCO
385010009,APOIO ESPELHO 350X840X12 MDF N 10 ROSA
385011001,MOLD ESPELHO 540X420X12 MDF N 11 BRANCO
385011009,MOLD ESPELHO 540X420X12 MDF N 11 ROSA
385012001,FRENTE GAV 268X100X12 MDF N 12 BRANCO
385012009,FRENTE GAV 268X100X12 MDF N 12 ROSA
385013001,BASE ASSENTO 400X300X15 MDF N 1 BRANCO
385013009,BASE ASSENTO 400X300X15 MDF N 1 ROSA
385014001,PE BANQUETA 440X130X25 MDF N 2 BRANCO
385014009,PE BANQUETA 440X130X25 MDF N 2 ROSA
385015001,ASSENTO BANQUETA 384X284X12 MDF N 3 BRAN
385015009,ASSENTO BANQUETA 384X284X12 MDF N 3 ROSA
385016001,LAT GAV 300X70X12 MDP 13 BRANCO
385016009,LAT GAV 300X70X12 MDP 13 ROSA
385017001,C F GAV 198X50X12 MDP 15 BRANCO
385017009,C F GAV 198X50X12 MDP 15 ROSA
385017100,C F GAV 900X105X12 MDP
385017101,C F GAV 900X105X12 MDP 15 BRANCO REAL
387001001,TAMPO 1200X410X15 MDP 1 BRANCO
387001116,TAMPO 1200X410X15 MDP 1 CINAMOMO
387002001,LAT ESQ 800X380X15 MDP 2 BRANCO
387002006,LAT ESQ 800X380X15 MDP 2 OFF WHITE
387002070,LAT ESQ 800X380X15 MDP 2 PRETO AC
387002116,LAT ESQ 800X380X15 MDP 2 CINAMOMO
387003001,REFORCO MESA 604X410X15 MDP 3 BRANCO
387003006,REFORÇO MESA 604X410X15 MDP 3 OFF WHITE
387003070,REFORCO MESA 604X410X15 MDP 3 PRETO AC
387003116,REFORCO MESA 604X410X15 MDP 3 CINAMOMO
387004001,DIV 800X380X15 MDP 4 BRANCO
387004006,DIV 800X380X15 MDP 4 OFF WHITE
387004070,DIV 800X380X15 MDP 4 PRETO AC
387004116,DIV 800X380X15 MDP 4 CINAMOMO
387005001,LAT DIR 800X380X15 MDP 5 BRANCO
387005006,LAT DIR 800X380X15 MDP 5 OFF WHITE
387005070,LAT DIR 800X380X15 MDP 5 PRETO AC
387005116,LAT DIR 800X380X15 MDP 5 CINAMOMO
387006001,BASE 530X380X15 MDP 6 BRANCO
387006006,BASE 530X380X15 MDP 6 OFF WHITE
387006070,BASE 530X380X15 MDP 6 PRETO AC
387006116,BASE 530X380X15 MDP 6 CINAMOMO
387007001,RODAPE FRONTAL 530X90X15 MDP 7 BRANCO
387007006,RODAPE FRONTAL 530X90X15 MDP 7 OFF WHITE
387007070,RODAPE FRONTAL 530X90X15 MDP 7 PRETO AC
387007116,RODAPE FRONTAL 530X90X15 MDP 7 CINAMOMO
387008001,PRAT 530X300X15 MDP 8 BRANCO
387008006,PRAT 530X300X15 MDP 8 OFF WHITE
387008070,PRAT 530X300X15 MDP 8 PRETO AC
387008116,PRAT 530X300X15 MDP 8 CINAMOMO
387009001,PORTA 705X269X15 MDP 9 BRANCO
387009006,PORTA 705X269X15 MDP 9 OFF WHITE
387009070,PORTA 705X269X15 MDP 9 PRETO AC
387009116,PORTA 705X269X15 MDP 9 CINAMOMO
387010001,FRENTE GAV 615X120X15 MDP 10 BRANCO
387010006,FRENTE GAV 615X120X15 MDP 10 OFF WHITE
387010070,FRENTE GAV 615X120X15 MDP 10 PRETO AC
387010116,FRENTE GAV 615X120X15 MDP 10 CINAMOMO
387011001,LAT GAV 300X90X12 MDP 11 BRANCO REAL
387013001,C F GAV 555X80X12 MDP 13 BRANCO REAL
394001006,TAMPO 1600X450X15 MDP 1 OFF WHITE
394001070,TAMPO 1600X450X15 MDP 1 PRETO ACETINADO
394001073,TAMPO 1600X450X15 MDP 1 CUMARU
394001077,TAMPO 1600X450X15 MDP 1 NATURE
394001116,TAMPO 1600X450X15 MDP 1 CINAMOMO
394002006,LAT ESQ 430X400X15 MDP 2 OFF WHITE
394002021,LAT ESQ 430X400X15 MDP 2 BRANCO AC
394002070,LAT ESQ 430X400X15 MDP 2 PRETO ACETINADO
394002073,LAT ESQ 430X400X15 MDP 2 CUMARU
